subject_id,collected_at,trial_index,start_x,start_y,end_x,end_y,zone_x,zone_y,duration_ms,success
sp1,2026-06-28T16:02:26.056Z,10,60,331,687.5,272.0,643.3338893571212,234.34076421840197,910,True
test-verif,2026-06-28T16:15:45.185Z,1,60,287.5,686.0,130.5,649.5899091311574,90.51990397036575,770,True
test-verif,2026-06-28T16:15:45.185Z,2,60,287.5,684.0,485.5,643.6849251109462,448.27313157264433,770,True
test-verif,2026-06-28T16:15:45.185Z,3,60,287.5,691.0,164.0,643.8995324561082,128.78163433351347,906,True
test-verif,2026-06-28T16:15:45.185Z,4,60,287.5,703.5,243.5,650.3928845370934,198.73016000044498,836,True
test-verif,2026-06-28T16:15:45.185Z,5,60,287.5,687.5,479.0,643.0321297715294,433.0623264872089,985,True
test-verif,2026-06-28T16:15:45.185Z,6,60,287.5,682.0,329.5,647.7594551584334,283.6816296287787,895,True
test-verif,2026-06-28T16:15:45.185Z,7,60,287.5,711.5,412.0,638.4272010461526,365.7603156149059,757,True
test-verif,2026-06-28T16:15:45.185Z,8,60,287.5,683.5,379.5,640.3764354262262,336.2548238141516,838,True
test-verif,2026-06-28T16:15:45.185Z,9,60,287.5,698.5,285.0,654.3988725232429,241.65766772778187,972,True
test-verif,2026-06-28T16:15:45.185Z,10,60,287.5,710.5,98.0,653.9603871561244,64.2047321040161,610,True
