subject_id,collected_at,segment,key_id,key_category,press_ts,release_ts,dwell_ms
amehta_merged,2026-06-26T10:03:59.436Z,pangram,y,alphanum,37444.70000000298,37568.0,123.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,38328.20000000298,38415.10000000894,86.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,38656.30000001192,38733.70000000298,77.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,39556.20000000298,39640.10000000894,83.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,39722.90000000596,39797.90000000596,75.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,s,alphanum,39856.30000001192,39916.20000000298,59.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,39971.90000000596,40072.80000001192,100.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,40890.70000000298,40964.10000000894,73.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,p,alphanum,41173.60000000894,41261.30000001192,87.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,41390.40000000596,41497.80000001192,107.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,41475.60000000894,41694.60000000894,219.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,41655.5,41762.5,107.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,41846.90000000596,41922.5,75.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,42378.20000000298,42448.60000000894,70.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,42439.0,42523.20000000298,84.20000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,42532.80000001192,42606.0,73.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,42701.20000000298,42796.90000000596,95.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,42965.90000000596,43039.70000000298,73.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,43316.0,43375.40000000596,59.400000005960464
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,43389.0,43463.5,74.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,43467.70000000298,43548.5,80.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,43729.0,43789.80000001192,60.80000001192093
amehta_merged,2026-06-26T10:03:59.436Z,pangram,l,alphanum,44276.30000001192,44367.10000000894,90.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,44372.30000001192,44483.0,110.69999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,44488.60000000894,44588.70000000298,100.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,k,alphanum,44606.40000000596,44707.20000000298,100.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,44708.80000001192,44830.60000000894,121.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,q,alphanum,45031.80000001192,45144.5,112.69999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,45177.60000000894,45261.20000000298,83.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,45296.80000001192,45465.0,168.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,45477.5,45594.10000000894,116.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,45783.30000001192,45872.20000000298,88.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,46059.0,46175.90000000596,116.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,46223.20000000298,46334.0,110.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,j,alphanum,46430.80000001192,46521.80000001192,91.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,46610.90000000596,46689.80000001192,78.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,d,alphanum,46792.60000000894,46892.40000000596,99.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,47044.40000000596,47147.0,102.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,47111.60000000894,47230.90000000596,119.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,47278.60000000894,47382.0,103.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,47497.40000000596,47625.60000000894,128.20000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,y,alphanum,47656.10000000894,47746.0,89.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,47792.5,47876.20000000298,83.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,v,alphanum,48179.70000000298,48244.10000000894,64.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,48460.70000000298,48573.10000000894,112.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,w,alphanum,48639.20000000298,48771.90000000596,132.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,49474.10000000894,49566.60000000894,92.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,49565.30000001192,49633.30000001192,68.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,49638.10000000894,49758.10000000894,120.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,49801.5,49865.10000000894,63.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,q,alphanum,50131.10000000894,50241.10000000894,110.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,50254.70000000298,50410.20000000298,155.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,50348.60000000894,50485.0,136.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,50457.60000000894,50548.60000000894,91.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,k,alphanum,50634.30000001192,50738.5,104.19999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,50746.5,50842.80000001192,96.30000001192091
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,50956.40000000596,51029.70000000298,73.29999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,51113.20000000298,51165.70000000298,52.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,51231.40000000596,51363.70000000298,132.29999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,51390.10000000894,51497.60000000894,107.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,51526.90000000596,51622.90000000596,96.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,52055.80000001192,52127.70000000298,71.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,52214.70000000298,52278.0,63.29999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,52365.90000000596,52513.0,147.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,n,alphanum,52506.70000000298,52588.90000000596,82.20000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,52618.0,52774.30000001192,156.30000001192093
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,53347.0,53414.30000001192,67.30000001192093
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,53455.5,53534.20000000298,78.70000000298023
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,53838.80000001192,53905.20000000298,66.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,53988.70000000298,54049.80000001192,61.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,f,alphanum,54075.20000000298,54162.20000000298,87.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,54223.20000000298,54313.0,89.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,54342.5,54428.0,85.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,54538.90000000596,54655.20000000298,116.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,j,alphanum,54811.70000000298,54905.60000000894,93.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,u,alphanum,55072.90000000596,55144.5,71.59999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,55341.10000000894,55421.0,79.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,p,alphanum,55506.20000000298,55613.80000001192,107.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,s,alphanum,55705.60000000894,55776.5,70.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,55839.10000000894,55940.0,100.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,55924.30000001192,56039.20000000298,114.8999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,backspace,special,56688.90000000596,56750.5,61.599999994039536
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,56943.20000000298,57030.10000000894,86.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,v,alphanum,57039.0,57187.90000000596,148.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,57175.5,57320.90000000596,145.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,r,alphanum,57291.30000001192,57421.5,130.19999998807907
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,57366.5,57482.60000000894,116.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,57517.70000000298,57605.30000001192,87.6000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,57580.70000000298,57688.90000000596,108.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,e,alphanum,57696.80000001192,57825.20000000298,128.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,57805.70000000298,57905.90000000596,100.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,l,alphanum,57945.30000001192,58041.0,95.69999998807909
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,58055.90000000596,58114.5,58.599999994039536
amehta_merged,2026-06-26T10:03:59.436Z,pangram,z,alphanum,58121.20000000298,58289.20000000298,168.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,y,alphanum,58394.20000000298,58471.30000001192,77.1000000089407
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,58575.10000000894,58699.40000000596,124.29999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,d,alphanum,58737.90000000596,58858.80000001192,120.90000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,58842.70000000298,58922.10000000894,79.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,g,alphanum,58940.30000001192,59048.70000000298,108.3999999910593
amehta_merged,2026-06-26T10:03:59.436Z,pangram,p,alphanum,59842.20000000298,59956.40000000596,114.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,a,alphanum,59949.10000000894,60065.10000000894,116.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,c,alphanum,60073.10000000894,60160.90000000596,87.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,k,alphanum,60172.10000000894,60264.80000001192,92.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,60280.90000000596,60404.70000000298,123.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,m,alphanum,60522.20000000298,60621.40000000596,99.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,y,alphanum,60654.70000000298,60762.5,107.79999999701975
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,60800.20000000298,60880.20000000298,80.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,b,alphanum,61050.10000000894,61090.60000000894,40.5
amehta_merged,2026-06-26T10:03:59.436Z,pangram,o,alphanum,61205.40000000596,61296.40000000596,91.0
amehta_merged,2026-06-26T10:03:59.436Z,pangram,x,alphanum,61314.40000000596,61414.10000000894,99.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,61497.30000001192,61572.60000000894,75.29999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,w,alphanum,61794.0,61904.70000000298,110.70000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,i,alphanum,61874.60000000894,61981.80000001192,107.20000000298025
amehta_merged,2026-06-26T10:03:59.436Z,pangram,t,alphanum,61988.60000000894,62113.70000000298,125.09999999403954
amehta_merged,2026-06-26T10:03:59.436Z,pangram,h,alphanum,62131.40000000596,62205.80000001192,74.40000000596046
amehta_merged,2026-06-26T10:03:59.436Z,pangram,space,space,62188.10000000894,62275.90000000596,87.79999999701977
amehta_merged,2026-06-26T10:03:59.436Z,pangram,f,alphanum,62483.5,62537.10000000894,53.6000000089407
